淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
15422482923,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装 欧美印花针织修身V领长袖连衣裙秋短裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1bnYIXmhaXXbCFSUU_015739.jpg,秋款上新,0.0,0.0,-1,-13,1,5,0,2012-10-17
15422482923,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装 欧美印花针织修身V领长袖连衣裙秋短裙子,http://img02.taobaocdn.com/bao/uploaded/i2/T1bnYIXmhaXXbCFSUU_015739.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
16353863425,海青蓝旗舰店,,,,秋款上新,0.0,0.0,1,0,2,5,0,2012-10-19
16353863425,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装大牌双排扣翻领欧美修身大码风衣外套,http://img04.taobaocdn.com/bao/uploaded/i4/T1F7HSXa0nXXa4E8bb_095035.jpg,秋款上新,0.0,0.0,1,-1,-3,-1,0,2012-10-18
16353863425,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装大牌双排扣翻领欧美修身大码风衣外套,http://img04.taobaocdn.com/bao/uploaded/i4/T1F7HSXa0nXXa4E8bb_095035.jpg,秋款上新,0.0,0.0,5,3,-6,10,0,2012-10-17
16353863425,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装大牌双排扣翻领欧美修身大码风衣外套,http://img04.taobaocdn.com/bao/uploaded/i4/T1F7HSXa0nXXa4E8bb_095035.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
20035796219,海青蓝旗舰店,,,,秋款上新,0.0,0.0,-1,-1,-1,4,0,2012-10-19
20035796219,海青蓝旗舰店,2012,2012秋装新款女装 淑女气质圆点丝绒长袖假两件套显瘦连衣裙子,http://img03.taobaocdn.com/bao/uploaded/i3/T1dqYSXd4kXXchzD39_105015.jpg,秋款上新,0.0,0.0,1,1,-1,7,0,2012-10-18
20035796219,海青蓝旗舰店,2012,2012秋装新款女装 淑女气质圆点丝绒长袖假两件套显瘦连衣裙子,http://img03.taobaocdn.com/bao/uploaded/i3/T1dqYSXd4kXXchzD39_105015.jpg,秋款上新,0.0,0.0,1,1,-2,14,0,2012-10-17
20035796219,海青蓝旗舰店,2012,2012秋装新款女装 淑女气质圆点丝绒长袖假两件套显瘦连衣裙子,http://img03.taobaocdn.com/bao/uploaded/i3/T1dqYSXd4kXXchzD39_105015.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
18400412678,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,-2,2,1,0,2012-10-19
18400412678,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款重工欧美毛呢修身长袖大码气质连衣裙,http://img03.taobaocdn.com/bao/uploaded/i3/T1fnPHXXpdXXXmY5E4_053340.jpg,秋款上新,0.0,0.0,1,0,-1,0,0,2012-10-18
18400412678,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款重工欧美毛呢修身长袖大码气质连衣裙,http://img03.taobaocdn.com/bao/uploaded/i3/T1fnPHXXpdXXXmY5E4_053340.jpg,秋款上新,0.0,0.0,1,-4,-1,19,0,2012-10-17
18400412678,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款重工欧美毛呢修身长袖大码气质连衣裙,http://img03.taobaocdn.com/bao/uploaded/i3/T1fnPHXXpdXXXmY5E4_053340.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
18880808896,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,0,0,5,0,2012-10-19
18880808896,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装高端兔毛领堆堆领无袖背心裙修身连衣裙,http://img02.taobaocdn.com/bao/uploaded/i2/T1qyTNXfdlXXb64ATb_125011.jpg,秋款上新,0.0,0.0,0,-1,0,-1,0,2012-10-18
